srcIP,destIP,destPt,protocol,startTime,flowct,mean_dest_bytes,stdev_dest_bytes,mean_dest_pkts,stdev_dest_pkts,mean_duration,stdev_duration,mean_intvl,stdev_intvl,mean_src_bytes,stdev_src_bytes,mean_src_pkts,stdev_src_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
10.0.2.103,217.212.225.74,80,tcp,75.269447,1,179.0,0,5.0,0,0.041663,0,0,0,97.0,0,5.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
fe80::50be:8acf:be49:8c14,ff02::1:3,5355,udp,72.656459,1,0.0,0,0.0,0,0.09331,0,0,0,44.0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,224.0.0.252,5355,udp,72.656628,1,0.0,0,0.0,0,0.093261,0,0,0,44.0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,10.0.2.255,137,udp,72.950576,1,0.0,0,0.0,0,1.502053,0,0,0,150.0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,8.8.8.8,53,udp,75.223928,94038,113.04710861566583,5.814574039446758,0.9997128820264489,0.0016281466454172264,0.024365803441162272,0.019736871452725298,2.39112174897,25.5264238732,47.09624832514538,2.243461949159313,0.9999255620068532,0.002034650393961868,0,0,93970,0,0,0,0,0,0,0,0,0,93967,0,0,0,0,0,0,0
::,ff02::1:ff49:8c14,136,icmp,47.563517,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe80::50be:8acf:be49:8c14,ff02::16,0,icmp,47.563688,1,0.0,0,0.0,0,0.5008,0,0,0,40.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe80::50be:8acf:be49:8c14,ff02::2,134,icmp,47.563598,1,0.0,0,0.0,0,8.002074,0,0,0,24.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.2,10.0.2.103,0,icmp,72.749997,10,0.0,0.0,0.0,0.0,0.0,0.0,24280.3217938,35369.4603924,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,98.225.252.156,9810,udp,97.804614,94,0.0,0.0,0.0,0.0,0.0,0.0,2323.91240088,598.937415207,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,76.222.222.168,1893,udp,104.067447,94,0.0,0.0,0.0,0.0,0.0,0.0,2323.93455713,599.237481297,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,78.8.77.198,2652,udp,112.01916,94,0.0,0.0,0.0,0.0,0.0,0.0,2323.92935969,599.2127757,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,108.92.60.184,1832,udp,120.56094,94,0.0,0.0,0.0,0.0,0.0,0.0,2323.92101046,599.494776646,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe80::50be:8acf:be49:8c14,ff02::1:2,547,udp,59.856552,500,0.0,0.0,0.0,0.0,61.937645493999995,1.8100620892730046,447.501903764,248.367023385,576.24,11.621447432625924,6.874,0.12449975134237289,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,174.6.141.85,4882,udp,126.710225,94,0.0,0.0,0.0,0.0,0.0,0.0,2332.5839712,682.584310511,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,84.59.151.27,7605,udp,133.810202,94,0.0,0.0,0.0,0.0,0.0,0.0,2332.65478391,683.383918554,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,71.146.4.225,4343,udp,140.910233,94,0.0,0.0,0.0,0.0,0.0,0.0,2332.66600218,683.311111425,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,108.218.11.246,2357,udp,148.161283,94,0.0,0.0,0.0,0.0,0.0,0.0,2332.65983428,683.352161816,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.218.11.246,10.0.2.103,3,icmp,148.441195,94,0.0,0.0,0.0,0.0,0.0,0.0,2332.65869655,683.347766013,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.103,108.74.172.39,3059,udp,156.293023,94,0.0,0.0,0.0,0.0,0.0,0.0,2332.6437868,683.410183718,0.0,0.0,1.0,0.0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
