,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,ts,flow_ct,mean_resp_bytes,std_resp_bytes,mean_duration,std_duration,mean_resp_pkts,std_resp_pkts,mean_orig_pkts,std_orig_pkts,mean_intvl,std_intvl,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,fd2d:ab8c:225:0:1d3:35e9:7d97:2325,fd2d:ab8c:225::1,63814,53,udp,9.919646,11,112.909090909,85.8201078366,0.077281,0.158904258681,1.0,0.0,1.0,0.0,30060.5177102,69988.1424112,11,11,11,11,11,0,0,11,11,0,11,11,11,11,11,0,0,11,0,0
1,fe80::da58:d7ff:fe00:f72,fe80::f106:5909:32ae:f4cb,547,546,udp,7.433823,138,0.0,0.0,13.5921798551,16.8595392231,0.0,0.0,5.63043478261,4.74314886162,14385.7647358,7950.8618711,138,138,138,138,138,0,0,138,138,0,138,138,138,138,138,0,0,138,0,0
2,192.168.1.130,217.182.53.102,49158,443,tcp,133.233279,2451,2690.0505916,58.2476336618,51.5405717368,62.1796599747,8.58139534884,0.971956081125,8.0905752754,0.307652261199,805.506241959,77.9801853804,2451,2451,2451,2451,2451,0,0,2451,2451,0,2451,2451,2451,2451,2451,0,0,2451,0,0
3,192.168.1.130,104.236.252.178,49159,44343,tcp,303.647791,2452,1383.98694943,41.5179913732,1.38753871697,5.94628855312,7.99551386623,0.232902194674,7.00407830343,0.219378612235,805.177462794,79.5678130811,2452,2452,2452,2452,2452,0,0,2452,2452,0,2452,2452,2452,2452,2452,0,0,2452,0,0
4,192.168.1.130,195.113.232.73,49160,80,tcp,304.857868,3,17666.3333333,30141.7255036,61.2875103333,2.01636909882,15.3333333333,20.5020324196,9.33333333333,7.50555349947,605434.841236,26.3868925,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,0
5,192.168.1.130,216.66.0.143,49161,5353,tcp,448.219035,3696,672.187770563,713.397640275,0.873965165584,4.19817243378,4.20021645022,3.59641378385,3.87364718615,2.95908011691,534.098033098,384.729714042,3696,3696,3696,3696,3696,0,0,3696,3696,0,3696,3696,3696,3696,3696,0,0,3696,0,0
6,192.168.1.130,64.250.115.129,49162,443,tcp,582.092063,2450,2642.07020408,12.2056009491,1.64913736204,6.33821757734,9.99346938776,0.102829528269,8.31387755102,0.470279693702,805.548905748,77.8989167758,2450,2450,2450,2450,2450,0,0,2450,2450,0,2450,2450,2450,2450,2450,0,0,2450,0,0
7,fd2d:ab8c:225:0:50fe:fa0b:79ca:ceb0,fd2d:ab8c:225::1,57331,53,udp,605712.850744,10,121.6,85.2071984439,0.0617984,0.133224764412,1.0,0.0,1.0,0.0,65831.889118,122470.888359,10,10,10,10,10,0,0,10,10,0,10,10,10,10,10,0,0,10,0,0
8,192.168.1.113,195.113.232.89,49159,80,tcp,1020452.91161,1,179.0,,0.022616,,5.0,,0.0,,,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
9,fd2d:ab8c:225:0:ac13:6a8c:41cc:1f02,fd2d:ab8c:225::1,58559,53,udp,1020450.22928,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41544.4944194,124300.657269,11,11,11,11,11,0,0,11,11,0,11,11,11,11,11,0,0,11,0,0
10,192.168.1.113,176.56.184.37,49160,80,tcp,1021384.76209,1,309.0,,0.057917,,5.0,,0.0,,,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
11,192.168.1.113,95.211.191.142,49161,443,tcp,1021384.83248,9,1185.88888889,1575.77714513,65431.2321424,86825.9242572,1332.22222222,1713.20808556,0.0,0.0,96509.5081554,105197.399015,9,9,9,9,9,0,0,9,9,0,9,9,9,9,9,0,0,9,0,0
12,fd2d:ab8c:225:0:10f4:64e2:5483:1856,fd2d:ab8c:225::1,52704,53,udp,1211174.38101,4,220.0,13.8564064606,0.0389545,0.0719586071224,1.0,0.0,1.0,0.0,0.0528310000276,0.0668274425765,4,4,4,4,4,0,0,4,4,0,4,4,4,4,4,0,0,4,0,0
13,192.168.1.113,95.211.242.83,49334,8080,tcp,1439349.9261,6,287.333333333,703.82005276,15824.045602,38754.6819386,463.0,1125.2958722,0.0,0.0,34023.816563,41443.9399562,6,6,6,6,6,0,0,6,6,0,6,6,6,6,6,0,0,6,0,0
14,192.168.1.113,95.211.191.142,49340,8080,tcp,1439473.00271,3,0.0,0.0,0.692202,0.599506655732,2.33333333333,1.15470053838,0.0,0.0,176995.022052,6876.961153,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,0
15,192.168.1.113,95.211.242.83,49341,443,tcp,1439474.04983,6,831.666666667,1381.21477934,45736.557756,75949.2299789,835.833333333,1380.65961289,0.0,0.0,70798.0116358,68111.1365939,6,6,6,6,6,0,0,6,6,0,6,6,6,6,6,0,0,6,0,0
16,192.168.1.113,95.211.242.83,49342,80,tcp,1439477.06903,4,0.0,0.0,3.01508125,0.00287137497551,4.0,0.0,0.0,0.0,56662.9752027,40066.7849283,4,4,4,4,4,0,0,4,4,0,4,4,4,4,4,0,0,4,0,0
17,192.168.1.113,136.243.91.74,49388,80,tcp,1608024.1168,1,26.0,,1375.778111,,29.0,,0.0,,,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
18,192.168.1.113,95.211.191.142,49404,80,tcp,1793461.98812,1,0.0,,1.042954,,3.0,,0.0,,,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
19,fd2d:ab8c:225:0:49c3:3ae0:8e61:2b69,fd2d:ab8c:225::1,51694,53,udp,1816024.33431,6,296.666666667,190.943621697,0.139497833333,0.307828762013,1.0,0.0,1.0,0.0,1970.0836864,3939.75110341,6,6,6,6,6,0,0,6,6,0,6,6,6,6,6,0,0,6,0,0
20,192.168.1.130,8.253.207.120,58124,80,tcp,1816025.13766,1,333.0,,60.130962,,4.0,,5.0,,,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
