,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,mean_resp_bytes,med_resp_bytes,std_resp_bytes,mean_duration,med_duration,std_duration,mean_resp_pkts,med_resp_pkts,std_resp_pkts,mean_orig_pkts,med_orig_pkts,std_orig_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,10.0.2.110,8.8.8.8,60212,53,udp,106.07444232,107.0,47.3801758802,0.0322405931804,0.0177255,0.270677466833,0.972912683238,1.0,0.165454212967,1.00229445507,1.0,0.0575252923435,15690,0,15690,15690,0,0,0,15690,15690,0,15690,0,15690,15690,15690,0,0,15690,0,0
1,10.0.2.110,8.8.4.4,60212,53,udp,117.584980237,98.0,67.953141191,0.37974736166,0.019424,0.9360212224,0.986166007905,1.0,0.116917183649,1.27075098814,1.0,0.583446765326,506,0,506,506,0,0,0,506,506,0,506,0,506,506,506,0,0,506,0,0
2,fe80::31aa:edaf:e8df:b0f1,ff02::1:2,546,547,udp,0.0,0.0,0.0,63.0417287115,63.015879,0.948126036534,0.0,0.0,0.0,7.0,7.0,0.0,4988,0,4988,4988,0,0,0,4988,4988,0,4988,0,4988,4988,4988,0,0,4988,0,0
3,10.0.2.110,95.211.15.53,49158,53,tcp,24227.4994829,21.0,168691.397488,75.6904070817,0.232716,525.603013945,135.828335057,4.0,755.329860554,151.919338159,5.0,778.42751305,967,0,967,967,0,0,0,967,967,0,967,0,967,967,967,0,0,967,0,0
4,10.0.2.110,173.194.116.226,49166,80,tcp,41.4444444444,0.0,175.833886255,9.09105233333,4.1590755,24.5878825402,3.11111111111,3.0,0.471404520791,4.11111111111,4.0,0.471404520791,18,0,18,18,0,0,0,18,18,0,18,0,18,18,18,0,0,18,0,0
5,10.0.2.110,173.194.116.230,49167,80,tcp,348.133333333,0.0,682.94466066,21.264896,6.229484,36.0270910398,3.93333333333,3.0,1.83095083287,4.93333333333,4.0,1.83095083287,15,0,15,15,0,0,0,15,15,0,15,0,15,15,15,0,0,15,0,0
6,10.0.2.110,173.194.116.243,49169,443,tcp,12162.48,228.0,52244.8085476,39.66854692,14.334429,53.2176766041,17.88,7.0,51.1959633825,11.44,8.0,19.7738885065,25,0,25,25,0,0,0,25,25,0,25,0,25,25,25,0,0,25,0,0
7,10.0.2.110,173.194.122.23,49179,443,tcp,17599.9285714,3937.0,55283.3457295,27.8336473095,10.253557,52.3438888495,20.7142857143,9.0,48.4200551648,12.0,9.0,18.0635733709,42,0,42,42,0,0,0,42,42,0,42,0,42,42,42,0,0,42,0,0
8,10.0.2.110,173.194.122.24,49182,443,tcp,15460.4074074,529.5,35480.2496117,41.5243672778,14.420501,61.5537276535,28.5740740741,9.0,72.7089317012,20.2592592593,9.0,58.334165912,54,0,54,54,0,0,0,54,54,0,54,0,54,54,54,0,0,54,0,0
9,10.0.2.110,173.194.116.240,49168,443,tcp,9321.82352941,267.0,29770.68825,40.1004649118,19.366332,55.8258091112,15.6764705882,8.0,31.1970478287,11.4117647059,8.5,13.1497612539,34,0,34,34,0,0,0,34,34,0,34,0,34,34,34,0,0,34,0,0
10,10.0.2.110,173.194.122.12,49197,80,tcp,0.0,0.0,0.0,9.19904666667,6.139115,5.3001181959,3.0,3.0,0.0,4.0,4.0,0.0,3,0,3,3,0,0,0,3,3,0,3,0,3,3,3,0,0,3,0,0
11,10.0.2.110,23.212.146.110,49200,443,tcp,3905.0,183.0,6605.80948862,80.2937553333,20.215638,109.804613366,9.0,8.0,7.54983443527,7.66666666667,8.0,4.50924975282,3,0,3,3,0,0,0,3,3,0,3,0,3,3,3,0,0,3,0,0
12,10.0.2.110,23.63.65.116,49225,443,tcp,262.5,262.5,371.231060123,104.072608,104.072608,130.686845974,6.5,6.5,4.94974746831,7.0,7.0,4.24264068712,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
13,10.0.2.110,74.125.22.155,49191,80,tcp,11744.0,418.0,19980.299197,230.151532,249.608706,199.153499113,15.3333333333,4.0,20.5020324196,11.6666666667,5.0,12.4230967691,3,0,3,3,0,0,0,3,3,0,3,0,3,3,3,0,0,3,0,0
14,10.0.2.110,74.125.226.30,49217,443,tcp,7185.0,7185.0,10161.1244457,104.5375485,104.5375485,133.416288756,12.0,12.0,14.1421356237,9.5,9.5,9.19238815543,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
15,10.0.2.110,74.125.226.13,49221,443,tcp,1066.5,1066.5,1508.25876427,104.3979485,104.3979485,133.238988802,8.5,8.5,9.19238815543,8.0,8.0,7.07106781187,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
16,10.0.2.110,74.125.22.155,49213,443,tcp,11930.5,11930.5,16872.2749059,104.627524,104.627524,133.518013844,83.5,83.5,115.258405333,65.5,65.5,88.3883476483,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
17,10.0.2.110,89.26.252.213,49177,80,tcp,22600.6315789,3741.0,42456.4833973,2.97929221053,3.206284,1.6819456491,20.2105263158,5.0,32.4423915877,8.36842105263,5.0,7.54402284605,19,0,19,19,0,0,0,19,19,0,19,0,19,19,19,0,0,19,0,0
18,10.0.2.110,173.194.122.15,49180,443,tcp,22674.9122807,717.0,44403.4526494,33.9237994035,10.433483,50.9102939703,29.8070175439,7.0,60.9711403032,17.701754386,7.0,46.7015466677,57,0,57,57,0,0,0,57,57,0,57,0,57,57,57,0,0,57,0,0
19,10.0.2.110,89.26.252.213,49207,443,tcp,51117.7272727,16432.0,68654.4317609,3.23993563636,2.949664,1.75374613989,44.6363636364,18.0,52.2614058886,16.1818181818,10.0,12.528512935,11,0,11,11,0,0,0,11,11,0,11,0,11,11,11,0,0,11,0,0
20,10.0.2.110,209.133.80.113,49199,80,tcp,414.0,414.0,,20.231399,20.231399,,3.0,3.0,,3.0,3.0,,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
