,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,ts,flow_ct,mean_resp_bytes,std_resp_bytes,mean_duration,std_duration,mean_resp_pkts,std_resp_pkts,mean_orig_pkts,std_orig_pkts,mean_intvl,std_intvl,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,192.168.1.191,172.217.23.226,49774,80,tcp,1493727739.36,336,9335.15178571,35606.8747136,31.9383149167,67.9800949185,13.7589285714,26.8138677205,14.8988095238,21.1718314357,14.8872712655,52.843582258,336,0,336,336,336,0,0,336,336,336,336,0,336,336,336,0,0,336,0,336
1,192.168.1.191,192.168.33.254,41757,53,udp,1493727739.36,28350,450.063527337,155.629262929,0.169439576931,0.512089805394,1.86222222222,0.378895804156,1.8364021164,0.459945728182,0.184180723414,0.863992627494,28350,0,28350,28350,28350,0,0,28350,28350,28350,28350,0,28350,28350,28350,0,0,28350,0,28350
2,192.168.1.191,23.219.91.50,51130,80,tcp,1493727739.63,193,36524.2849741,53620.7118197,17.0222571813,33.6508682136,33.7409326425,43.0198020437,27.3886010363,29.0844545142,14.8890258695,79.5189278122,193,0,193,193,193,0,0,193,193,193,193,0,193,193,193,0,0,193,0,193
3,192.168.1.197,224.0.0.251,5353,5353,udp,1493727741.02,10,0.0,0.0,3.7137905,2.81816517712,0.0,0.0,4.3,3.36815148775,399.988046567,420.56382187,10,0,10,10,10,0,0,10,10,10,10,0,10,10,10,0,0,10,0,10
4,192.168.1.191,95.172.94.23,40828,443,tcp,1493727767.93,3,3637.0,0.0,0.247198666667,0.15504346512,8.66666666667,0.57735026919,10.6666666667,0.57735026919,2529.30226696,253.241259933,3,0,3,3,3,0,0,3,3,3,3,0,3,3,3,0,0,3,0,3
5,192.168.1.191,108.161.188.225,47646,443,tcp,1493727764.73,33,269629.181818,944747.607442,28.1014824848,32.4487679848,191.787878788,640.919542414,101.696969697,306.354725446,9.83591300249,26.3413446306,33,0,33,33,33,0,0,33,33,33,33,0,33,33,33,0,0,33,0,33
6,192.168.1.191,95.172.94.15,45520,443,tcp,1493727767.66,11,2003.09090909,1703.50840647,3.82315990909,2.53301848352,8.09090909091,1.04446593573,11.2727272727,1.27207775634,473.218114805,823.446327995,11,0,11,11,11,0,0,11,11,11,11,0,11,11,11,0,0,11,0,11
7,192.168.1.191,95.100.191.4,60266,443,tcp,1493727767.43,69,911.405797101,1492.1940648,21.0985998261,50.5521374016,10.5942028986,5.94662247335,13.8405797101,7.18377090147,73.7054250451,175.013732759,69,0,69,69,69,0,0,69,69,69,69,0,69,69,69,0,0,69,0,69
8,192.168.1.191,172.217.23.202,35230,443,tcp,1493727775.02,36,80296.4444444,234033.71774,53.9321859444,173.578307459,80.0,200.851330946,43.3611111111,84.8225552139,136.358056402,186.177229066,36,0,36,36,36,0,0,36,36,36,36,0,36,36,36,0,0,36,0,36
9,192.168.1.191,54.192.93.110,52740,80,tcp,1493727774.57,7,37403.2857143,72979.4651705,59.8736561429,74.87431881,36.5714285714,51.574726184,29.5714285714,33.8666854143,411.343484163,553.100139244,7,0,7,7,7,0,0,7,7,7,7,0,7,7,7,0,0,7,0,7
10,192.168.1.191,172.217.23.227,48020,80,tcp,1493727775.39,412,27306.7718447,40646.5360858,11.2350066311,24.7170566823,23.9393203883,31.5504262895,21.817961165,26.0658602072,12.4368401606,38.6116386297,412,0,412,412,412,0,0,412,412,412,412,0,412,412,412,0,0,412,0,412
11,192.168.1.191,178.250.2.89,41660,80,tcp,1493727775.25,2,320.0,452.548339959,67.917935,88.2144135223,12.5,13.4350288425,14.0,14.1421356237,3.60012054443e-05,0.0,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2
12,192.168.1.191,216.58.207.138,47322,80,tcp,1493727775.11,2,552.0,780.64588643,60.746285,77.8928437196,10.0,9.89949493661,11.5,10.6066017178,0.0131139755249,0.0,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2
13,192.168.1.191,178.250.0.74,54430,80,tcp,1493727775.0,10,1937.9,4498.18026046,27.376004,46.5196584498,6.4,7.63326055278,8.1,7.60774459204,489.076760451,576.075040321,10,0,10,10,10,0,0,10,10,10,10,0,10,10,10,0,0,10,0,10
14,192.168.1.191,8.30.11.130,54608,80,tcp,1493727774.99,20,618.65,397.474696315,12.7829198,33.1185163434,5.0,4.25502798556,6.1,4.0249223595,254.301342788,424.129177403,20,0,20,20,20,0,0,20,20,20,20,0,20,20,20,0,0,20,0,20
15,192.168.1.191,151.101.112.166,48874,80,tcp,1493727774.97,386,1579.46632124,3239.07148314,15.5491465052,33.0413693696,6.39637305699,4.98161683509,7.64766839378,4.70260577159,13.0660589014,51.8113633539,386,0,386,386,386,0,0,386,386,386,386,0,386,386,386,0,0,386,0,386
16,192.168.1.191,54.192.93.248,46412,80,tcp,1493727776.36,29,1419.0,4814.53684911,7.08539134483,23.5772195882,5.24137931034,4.52497176324,7.10344827586,4.8280787926,141.075713609,252.19016904,29,0,29,29,29,0,0,29,29,29,29,0,29,29,29,0,0,29,0,29
17,192.168.1.191,23.64.15.32,50352,80,tcp,1493727776.36,154,10537.538961,35581.6191316,19.2723977987,39.4758300514,12.9675324675,29.2937386138,12.974025974,22.6850986338,33.0554479867,52.3388906293,154,0,154,154,154,0,0,154,154,154,154,0,154,154,154,0,0,154,0,154
18,192.168.1.111,239.255.255.250,60047,1900,udp,1493727727.6,53,0.0,0.0,102.584945943,720.655310439,0.0,0.0,23.2264150943,140.112131127,100.945871715,35.8685578027,53,0,53,53,53,0,0,53,53,53,53,0,53,53,53,0,0,53,0,53
19,192.168.1.191,95.172.94.23,35224,80,tcp,1493727776.83,6,574.166666667,1158.46560875,25.5197486667,56.3522655357,8.66666666667,14.9086104875,10.5,14.5017240354,556.612976599,1088.07146303,6,0,6,6,6,0,0,6,6,6,6,0,6,6,6,0,0,6,0,6
20,192.168.1.254,239.255.255.250,54826,1900,udp,1493727732.21,527,0.0,0.0,10.229995241,227.373984252,0.0,0.0,6.42694497154,58.1915830445,9.96328084596,9.32429601126,527,0,527,527,527,0,0,527,527,527,527,0,527,527,527,0,0,527,0,527
21,192.168.1.191,94.31.29.64,33842,443,tcp,1493727767.92,18,48797.9444444,138485.914721,64.4426432778,30.811770058,47.1666666667,94.3412142485,33.1666666667,48.1239209199,292.07971277,381.844714762,18,0,18,18,18,0,0,18,18,18,18,0,18,18,18,0,0,18,0,18
22,192.168.1.191,54.247.82.144,35014,443,tcp,1493727744.12,10,2686.7,2495.58423576,56.2837636,19.8420390827,13.5,2.71825107172,16.7,3.09300285591,499.399538782,1374.14694409,10,0,10,10,10,0,0,10,10,10,10,0,10,10,10,0,0,10,0,10
23,192.168.1.147,239.255.255.250,65337,1900,udp,1493727763.85,44,0.0,0.0,3.02570606818,0.0532735264249,0.0,0.0,3.88636363636,0.321038220641,120.004902745,0.0268262325532,44,0,44,44,44,0,0,44,44,44,44,0,44,44,44,0,0,44,0,44
24,192.168.1.191,46.51.199.110,60158,443,tcp,1493727765.7,4,4956.0,2054.33281951,58.7417475,4.18894326819,15.5,0.57735026919,18.75,1.5,599.088149707,396.241315522,4,0,4,4,4,0,0,4,4,4,4,0,4,4,4,0,0,4,0,4
25,192.168.1.191,52.19.171.125,56984,443,tcp,1493727768.29,4,4145.25,2368.21133277,27.866685,30.99522871,13.0,3.55902608401,17.25,4.5,1593.36500406,2224.28048621,4,0,4,4,4,0,0,4,4,4,4,0,4,4,4,0,0,4,0,4
26,192.168.1.191,46.137.108.231,39854,443,tcp,1493727769.17,1,6283.0,,60.346044,,17.0,,21.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
27,192.168.1.191,23.111.9.32,58066,443,tcp,1493727767.91,8,5201.125,234.253487548,77.643048,40.1699434124,19.75,5.00713776238,20.875,10.4257579375,502.60345585,593.094721278,8,0,8,8,8,0,0,8,8,8,8,0,8,8,8,0,0,8,0,8
28,192.168.1.111,224.0.0.251,5353,5353,udp,1493727825.8,4,0.0,0.0,3.052392,0.0562081698154,0.0,0.0,4.0,0.0,694.26527667,891.31895733,4,0,4,4,4,0,0,4,4,4,4,0,4,4,4,0,0,4,0,4
29,fe80::6529:a551:88b9:f0ca,ff02::fb,5353,5353,udp,1493727825.81,4,0.0,0.0,3.052484,0.0559770942023,0.0,0.0,4.0,0.0,694.265239,891.318935575,4,0,4,4,4,0,0,4,4,4,4,0,4,4,4,0,0,4,0,4
30,192.168.1.191,151.101.113.108,49514,80,tcp,1493727836.71,136,12993.0661765,37719.979718,21.9457988529,42.9626571302,13.5220588235,26.7116195861,13.0073529412,19.2817304908,37.0204390755,65.8017941169,136,0,136,136,136,0,0,136,136,136,136,0,136,136,136,0,0,136,0,136
31,192.168.1.191,209.58.134.247,45480,443,tcp,1493727764.05,1,39286.0,,79.673658,,63.0,,58.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
32,192.168.1.191,159.122.19.133,37212,443,tcp,1493727781.09,3,1751.33333333,1981.9831819,48.4820806667,37.4887651418,15.3333333333,7.37111479583,18.3333333333,9.29157324318,55.2328020334,55.2326949835,3,0,3,3,3,0,0,3,3,3,3,0,3,3,3,0,0,3,0,3
33,192.168.1.191,209.58.134.242,48864,443,tcp,1493727844.58,2,23767.0,14958.1368492,1.8876605,0.0394615081377,34.0,16.9705627485,29.0,12.7279220614,11.8639810085,0.0,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2
34,192.168.1.191,66.150.28.58,57812,80,tcp,1493727846.32,5,62719.8,57387.2282281,58.3118696,29.2954137636,69.0,58.6344608571,52.2,39.0089733267,0.164961755276,0.235685266821,5,0,5,5,5,0,0,5,5,5,5,0,5,5,5,0,0,5,0,5
35,192.168.1.168,239.255.255.250,59073,1900,udp,1493727795.7,47,0.0,0.0,4.29899412766,5.81375912637,0.0,0.0,4.04255319149,0.588197201792,112.200835394,24.284977319,47,0,47,47,47,0,0,47,47,47,47,0,47,47,47,0,0,47,0,47
36,192.168.1.191,54.175.183.234,57230,80,tcp,1493727740.4,90,480.533333333,616.423960336,11.5601628889,31.3372170305,6.61111111111,6.8592502038,7.96666666667,6.32890639683,53.5967970109,170.92996282,90,0,90,90,90,0,0,90,90,90,90,0,90,90,90,0,0,90,0,90
37,192.168.1.191,62.67.193.75,43936,443,tcp,1493727744.63,13,6676.61538462,5117.0467319,50.0065402308,61.838612232,19.4615384615,15.0533240217,24.4615384615,17.6428237754,313.793028156,520.662755256,13,0,13,13,13,0,0,13,13,13,13,0,13,13,13,0,0,13,0,13
38,192.168.1.192,239.255.255.250,44606,1900,udp,1493727802.66,18,0.0,0.0,2.793986,0.410641269352,0.0,0.0,3.77777777778,0.427792631946,111.922263188,27.0526561388,18,0,18,18,18,0,0,18,18,18,18,0,18,18,18,0,0,18,0,18
39,192.168.1.191,172.217.23.238,51298,443,tcp,1493727761.69,363,36457.0688705,162863.257797,71.3253759835,152.802607383,59.1570247934,192.00515107,43.9008264463,119.643097588,13.6798589776,28.1318840541,363,0,363,363,363,0,0,363,363,363,363,0,363,363,363,0,0,363,0,363
40,192.168.1.191,172.217.23.234,40478,443,tcp,1493727866.7,193,11514.984456,61034.0298167,36.5738637409,111.74072824,24.7150259067,76.1629053967,21.1191709845,43.1331670447,26.4769132398,36.1256079537,193,0,193,193,193,0,0,193,193,193,193,0,193,193,193,0,0,193,0,193
41,192.168.1.191,95.100.190.95,59858,443,tcp,1493727866.7,4,17893.5,35421.0,5.6603835,0.660480122028,21.0,24.0,18.5,15.0,595.065287987,400.384387848,4,0,4,4,4,0,0,4,4,4,4,0,4,4,4,0,0,4,0,4
42,192.168.1.191,95.100.185.157,47998,443,tcp,1493727744.29,19,2242.10526316,2105.14026703,15.3644560526,37.6562628149,10.7894736842,4.74434104274,13.3684210526,5.11219159695,249.28058362,303.821102285,19,0,19,19,19,0,0,19,19,19,19,0,19,19,19,0,0,19,0,19
43,192.168.1.191,95.172.94.61,54634,443,tcp,1493727867.54,13,1598.84615385,1527.66160335,2.52853269231,3.12257183316,7.61538461538,1.04390784543,9.69230769231,1.93151992761,375.00559624,988.53934879,13,0,13,13,13,0,0,13,13,13,13,0,13,13,13,0,0,13,0,13
44,192.168.1.191,178.255.83.1,36858,80,tcp,1493727761.59,124,892.387096774,1480.01146837,27.7230554839,49.1471490937,7.70161290323,9.19701245121,9.07258064516,8.67682961386,41.1620144301,73.7349350979,124,0,124,124,124,0,0,124,124,124,124,0,124,124,124,0,0,124,0,124
45,192.168.1.191,104.196.148.71,39590,80,tcp,1493727761.06,1,439.0,,115.887097,,15.0,,17.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
46,192.168.1.191,64.207.139.85,33646,80,tcp,1493727759.49,1,391.0,,117.462901,,16.0,,18.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
47,192.168.1.191,185.54.150.19,37512,443,tcp,1493727880.01,1,2772.0,,0.16682,,11.0,,13.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
48,192.168.1.191,104.20.24.14,39290,80,tcp,1493727877.21,6,20727.1666667,10532.8593728,23.5978095,10.406263296,30.6666666667,10.0531918646,27.0,9.89949493661,0.219838380814,0.300810009782,6,0,6,6,6,0,0,6,6,6,6,0,6,6,6,0,0,6,0,6
49,192.168.1.191,216.58.201.98,54360,443,tcp,1493727879.4,128,19829.453125,87099.5838065,98.9621371875,192.723754075,66.2734375,232.261246978,55.4296875,168.994557225,38.1931623474,126.803397086,128,0,128,128,128,0,0,128,128,128,128,0,128,128,128,0,0,128,0,128
50,192.168.1.191,172.217.23.226,58300,443,tcp,1493727761.71,233,72986.5879828,280045.263641,69.262889618,181.147001896,106.931330472,377.833894934,70.7124463519,238.237382829,21.8629878924,49.2781259687,233,0,233,233,233,0,0,233,233,233,233,0,233,233,233,0,0,233,0,233
51,192.168.1.191,147.32.83.56,58508,443,tcp,1493727876.14,22,1757.18181818,2131.4522578,5.55562618182,0.847312953519,9.0,0.816496580928,11.6818181818,1.80966620538,224.96136847,359.193579588,22,0,22,22,22,0,0,22,22,22,22,0,22,22,22,0,0,22,0,22
52,192.168.1.191,52.18.32.2,48906,443,tcp,1493727879.97,1,11765.0,,3.654802,,24.0,,25.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
53,192.168.1.191,199.16.156.75,59712,80,tcp,1493727878.58,7,442.857142857,414.254924964,17.537478,16.7802060932,7.0,5.03322295685,8.28571428571,4.2314018841,614.391706506,867.588228751,7,0,7,7,7,0,0,7,7,7,7,0,7,7,7,0,0,7,0,7
54,192.168.1.191,172.217.23.232,38724,80,tcp,1493727878.32,87,16478.1609195,17710.3686657,19.9812184253,43.8822658438,16.5402298851,15.441415616,17.0229885057,14.4447439636,57.6039740485,84.9893915462,87,0,87,87,87,0,0,87,87,87,87,0,87,87,87,0,0,87,0,87
55,192.168.1.191,23.64.15.25,35366,80,tcp,1493727878.31,185,5337.7027027,14793.7105178,10.9573471676,24.7418755187,7.97837837838,12.2890711242,9.02702702703,10.5636952282,26.8777886525,42.3501025566,185,0,185,185,185,0,0,185,185,185,185,0,185,185,185,0,0,185,0,185
56,192.168.1.191,172.217.23.234,39722,80,tcp,1493727877.97,300,17381.7733333,57241.7037837,22.1266662467,60.3812061392,17.7966666667,41.7205465236,15.7566666667,28.8000392899,16.5403017121,30.6895054569,300,0,300,300,300,0,0,300,300,300,300,0,300,300,300,0,0,300,0,300
57,192.168.1.191,172.217.23.228,42126,80,tcp,1493727879.02,540,2001.02037037,11488.9364998,4.1272486037,12.1857600199,5.36111111111,8.52047444973,6.88703703704,6.38297091762,9.16472513512,27.7896516271,540,0,540,540,540,0,0,540,540,540,540,0,540,540,540,0,0,540,0,540
58,192.168.1.191,172.217.23.225,56922,80,tcp,1493727878.99,196,3362.98469388,13261.3052892,13.1843748878,26.8159089314,6.48979591837,11.0678512477,7.85714285714,8.93681524183,25.4013370722,46.3642752052,196,0,196,196,196,0,0,196,196,196,196,0,196,196,196,0,0,196,0,196
